ts,rank,movement,played,won,lost,points,ceiling,champion,champion_alive,matches_decided,matches_total
2026-06-30T03:22:02+00:00,1,,,,,2,59,,True,3,32
2026-06-30T03:55:00+00:00,1,,,,,3,59,,True,4,32
2026-06-30T15:22:01+00:00,1,,,,,3,59,,True,4,32
2026-06-30T19:40:55+00:00,1,,,,,4,59,,True,5,32
2026-07-01T05:26:40+00:00,1,,,,,6,59,,True,7,32
2026-07-01T15:33:34+00:00,1,,,,,6,59,,True,7,32
2026-07-01T22:52:15+00:00,,,,,,,,,,8,32
2026-07-02T05:02:26+00:00,1,,,,,7,59,,True,8,32
2026-07-02T15:01:49+00:00,1,,,,,7,59,,True,8,32
2026-07-03T04:46:29+00:00,,,,,,,,,,8,32
2026-07-03T14:59:33+00:00,1,,,,,7,59,,True,8,32
2026-07-04T04:39:08+00:00,,,,,,,,,,8,32
2026-07-04T14:21:08+00:00,1,,,,,7,59,,True,8,32
2026-07-05T05:00:43+00:00,1,,,,,7,59,,True,8,32
2026-07-05T14:22:31+00:00,,,,,,,,,,8,32
2026-07-06T04:27:19+00:00,,,20,15,5,17,50,Portugal,True,20,32
2026-07-06T05:16:34+00:00,1,,20,15,5,17,50,Portugal,True,20,32
2026-07-06T16:11:39+00:00,,,20,15,5,17,50,Portugal,True,20,32
2026-07-06T20:14:37+00:00,29,,20,15,5,17,50,Portugal,True,20,32
